# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = NGP5_initial_clean.image.tt0.fits
# RMS (constant) = 2.568e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.113e-01 , 2.238e-01) arcsec, PA = -7.730e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
      21         17       4772       2882   205.153526248    32.584803588   1.03e-05   7.87e-06        4772.35        2881.94   205.153514613    32.584801952          1        4772.34        2881.98   205.153514956    32.584802906          1       4770       4775       2880       2884   2.57e-06   1.00e+00     1.26   6.339e+00   6.339e+00   6.099e+00   1.627689e-05   1.627689e-05   1.566063e-05   1.566063e-05   1.566063e-05   2.702680e-06   2.064479e-05   2.064479e-05   2.761449e-05   2.761449e-05   2.915414e-06     1.93  -1.000e+00
      22         29       4201       2567   205.172350368    32.576054995   1.14e-05   8.71e-06        4202.59        2567.59   205.172298081    32.576071279          1        4202.28        2567.52   205.172308326    32.576069542          1       4199       4208       2566       2571   2.57e-06   1.00e+00     1.95   5.992e+00   5.992e+00   5.442e+00   1.538633e-05   1.538633e-05   1.397408e-05   1.397408e-05   1.397408e-05   2.675731e-06   3.001863e-05   3.001863e-05   4.224963e-05   4.224963e-05   3.325029e-06     3.67  -1.000e+00
      23         12       2801       2675   205.218501108    32.579046565   1.07e-05   8.21e-06        2800.58        2675.25   205.218514847    32.579053504          1        2800.76        2675.20   205.218508978    32.579052068          1       2799       2802       2674       2677   2.57e-06   1.00e+00     1.15   5.969e+00   5.969e+00   5.819e+00   1.532804e-05   1.532804e-05   1.494288e-05   1.494288e-05   1.494288e-05   2.690869e-06   1.461631e-05   1.461631e-05   1.994126e-05   1.994126e-05   2.754518e-06     1.42  -1.000e+00
      24          9       6085       4688   205.110205849    32.634956351   1.06e-05   8.09e-06        6085.11        4687.89   205.110202186    32.634953262          1        6085.22        4688.03   205.110198634    32.634957282          1       6084       6087       4686       4689   2.57e-06   1.00e+00     0.92   5.910e+00   5.910e+00   5.910e+00   1.517481e-05   1.517481e-05   1.517481e-05   1.517481e-05   1.517481e-05   2.694631e-06   1.094619e-05   1.094619e-05   1.483487e-05   1.483487e-05   2.672718e-06     1.05  -1.000e+00
      25         11       5940       3108   205.115016856    32.591069732   1.05e-05   8.03e-06        5939.55        3107.64   205.115031849    32.591059638          1        5939.63        3107.64   205.115029220    32.591059670          1       5938       5941       3106       3109   2.57e-06   1.00e+00     0.92   5.671e+00   5.964e+00   5.964e+00   1.456045e-05   1.531421e-05   1.531421e-05   1.531421e-05   1.531421e-05   2.696917e-06   1.315373e-05   1.315373e-05   1.775769e-05   1.775769e-05   2.716906e-06     1.28  -1.000e+00
      26         16       5195       3560   205.139574342    32.603634067   1.16e-05   8.84e-06        5194.62        3560.50   205.139586702    32.603647959          1        5194.77        3560.51   205.139581793    32.603648117          1       5192       5198       3559       3562   2.57e-06   1.00e+00     1.84   5.636e+00   5.867e+00   5.357e+00   1.447048e-05   1.506453e-05   1.375499e-05   1.375499e-05   1.375499e-05   2.672436e-06   2.006783e-05   2.006783e-05   2.846781e-05   2.846781e-05   2.935861e-06     2.06  -1.000e+00
      27         13       4134       2019   205.174558567    32.560832748   1.19e-05   9.08e-06        4133.77        2018.77   205.174566173    32.560826337          1        4133.80        2018.83   205.174565049    32.560827927          1       4132       4136       2017       2020   2.57e-06   1.00e+00     1.49   5.569e+00   5.569e+00   5.199e+00   1.429892e-05   1.429892e-05   1.334886e-05   1.334886e-05   1.334886e-05   2.666457e-06   1.450647e-05   1.450647e-05   2.090128e-05   2.090128e-05   2.772255e-06     1.72  -1.000e+00
      28         14       4028       3093   205.178054014    32.590665982   1.18e-05   9.00e-06        4028.14        3092.71   205.178049304    32.590658046          1        4028.03        3092.75   205.178053029    32.590658974          1       4026       4031       3091       3094   2.57e-06   1.00e+00     1.49   5.531e+00   5.621e+00   5.251e+00   1.420324e-05   1.443291e-05   1.348285e-05   1.348285e-05   1.348285e-05   2.668412e-06   1.569654e-05   1.569654e-05   2.249692e-05   2.249692e-05   2.803305e-06     1.84  -1.000e+00
      29         13       4936       3028   205.148118574    32.588858220   1.21e-05   9.21e-06        4935.00        3026.62   205.148151553    32.588819765          1        4935.12        3026.76   205.148147469    32.588823720          1       4933       4937       3024       3029   2.57e-06   1.00e+00     1.49   5.487e+00   5.487e+00   5.117e+00   1.408947e-05   1.408947e-05   1.313941e-05   1.313941e-05   1.313941e-05   2.663439e-06   1.370251e-05   1.370251e-05   1.991248e-05   1.991248e-05   2.753998e-06     1.75  -1.000e+00
      30         13       5628       6008   205.125260857    32.671629546   1.22e-05   9.30e-06        5627.77        6008.23   205.125268469    32.671635959          1        5627.75        6008.22   205.125268989    32.671635609          1       5626       5630       6007       6010   2.57e-06   1.00e+00     1.49   5.422e+00   5.435e+00   5.065e+00   1.392213e-05   1.395658e-05   1.300652e-05   1.300652e-05   1.300652e-05   2.661546e-06   1.467999e-05   1.467999e-05   2.145335e-05   2.145335e-05   2.782778e-06     1.77  -1.000e+00
      31         13       5697       2748   205.123033887    32.581073120   1.21e-05   9.22e-06        5696.46        2749.15   205.123051620    32.581105179          1        5696.50        2748.99   205.123050194    32.581100490          1       5695       5698       2747       2752   2.57e-06   1.00e+00     1.49   5.421e+00   5.480e+00   5.110e+00   1.391961e-05   1.407004e-05   1.311998e-05   1.311998e-05   1.311998e-05   2.663161e-06   1.389020e-05   1.389020e-05   2.020165e-05   2.020165e-05   2.759258e-06     1.76  -1.000e+00
      32         11       4385       4531   205.166281330    32.630610408   1.23e-05   9.30e-06        4385.45        4532.55   205.166266334    32.630653337          1        4385.40        4532.28   205.166268126    32.630646073          1       4384       4387       4531       4535   2.57e-06   1.00e+00     1.26   5.130e+00   5.301e+00   5.061e+00   1.317304e-05   1.361120e-05   1.299494e-05   1.299494e-05   1.299494e-05   2.661382e-06   1.249654e-05   1.249654e-05   1.827154e-05   1.827154e-05   2.725410e-06     1.50  -1.000e+00
      33         10       4952       6427   205.147564901    32.683274795   1.21e-05   9.20e-06        4952.10        6426.40   205.147561606    32.683258128          1        4952.13        6426.46   205.147560487    32.683259699          1       4950       4954       6425       6428   2.57e-06   1.00e+00     1.15   5.071e+00   5.272e+00   5.122e+00   1.302075e-05   1.353626e-05   1.315110e-05   1.315110e-05   1.315110e-05   2.663606e-06   1.141646e-05   1.141646e-05   1.658231e-05   1.658231e-05   2.698272e-06     1.35  -1.000e+00
