# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = g018_5500_mf_large_selfcal_cgcurs_161111.fits
# RMS image = rms_noise.fits
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (4727 , 2357) pixels
# Image projection = NCP
# Total non-blank pixels = 11141539
# Pixel dimensions (RA , Dec) = (5.596e-01 , 1.122e+00) arcsec
# Resolution (bmaj , bmin) = (1.151e+01 , 3.818e+00) arcsec, PA = 4.176e+00 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.600e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
      21        119       1922       1048   351.945186222   -30.296686102   8.16e-05   2.40e-04        1921.40        1049.78   351.945293187   -30.296131134          1        1921.55        1049.65   351.945266341   -30.296171928          1       1916       1926       1042       1057   7.11e-06   1.00e+00     0.46   9.310e+00   9.317e+00   9.317e+00   6.616458e-05   6.621148e-05   6.621148e-05   6.621148e-05   6.621148e-05   7.950968e-06   5.367304e-05   5.367304e-05   6.777737e-05   6.777737e-05   7.873299e-06     1.18  -1.000e+00
      22        185       1305       1219   352.056162620   -30.242951312   8.20e-05   2.41e-04        1305.90        1217.42   352.056001147   -30.243444480          1        1305.65        1217.20   352.056046049   -30.243512700          1       1300       1315       1209       1228   7.08e-06   1.00e+00     0.62   9.270e+00   9.270e+00   9.270e+00   6.566822e-05   6.566822e-05   6.566822e-05   6.566822e-05   6.566822e-05   7.917659e-06   8.018866e-05   8.018866e-05   1.014218e-04   1.014218e-04   8.712037e-06     1.84  -1.000e+00
      23        162       2490        986   351.842922980   -30.316071748   8.75e-05   2.57e-04        2493.57         982.77   351.842280273   -30.317075931          1        2492.69         982.85   351.842438022   -30.317052714          1       2485       2505        976        988   7.10e-06   1.00e+00     0.58   8.546e+00   8.687e+00   8.687e+00   6.069690e-05   6.169893e-05   6.169893e-05   6.169893e-05   6.169893e-05   7.841360e-06   6.327605e-05   6.327605e-05   8.177737e-05   8.177737e-05   8.195497e-06     1.69  -1.000e+00
      24        121       2134       1255   351.906992172   -30.232239307   9.36e-05   2.75e-04        2133.71        1257.17   351.907043930   -30.231563730          1        2133.89        1257.25   351.907012438   -30.231536387          1       2126       2139       1249       1263   7.11e-06   1.00e+00     0.72   8.023e+00   8.116e+00   8.116e+00   5.700707e-05   5.767105e-05   5.767105e-05   5.767105e-05   5.767105e-05   7.754540e-06   5.404925e-05   5.404925e-05   7.162689e-05   7.162689e-05   7.956989e-06     1.34  -1.000e+00
      25         90       2624       1237   351.818831240   -30.237846702   9.55e-05   2.81e-04        2624.12        1235.99   351.818809098   -30.238162054          1        2624.16        1236.04   351.818801580   -30.238144639          1       2619       2629       1229       1243   7.10e-06   1.00e+00     0.45   7.853e+00   7.952e+00   7.952e+00   5.577607e-05   5.648104e-05   5.648104e-05   5.648104e-05   5.648104e-05   7.726250e-06   3.514593e-05   3.514593e-05   4.695455e-05   4.695455e-05   7.480338e-06     1.02  -1.000e+00
      26        107       2234       1297   351.888997602   -30.219151336   9.96e-05   2.93e-04        2234.07        1298.15   351.888985749   -30.218792581          1        2234.10        1298.09   351.888980031   -30.218810178          1       2229       2239       1290       1305   7.10e-06   1.00e+00     0.55   7.625e+00   7.625e+00   7.625e+00   5.416720e-05   5.416720e-05   5.416720e-05   5.416720e-05   5.416720e-05   7.679852e-06   4.167418e-05   4.167418e-05   5.666405e-05   5.666405e-05   7.648419e-06     1.26  -1.000e+00
      27        123       2311       1098   351.875151917   -30.281206878   9.91e-05   2.92e-04        2310.23        1098.98   351.875290915   -30.280902921          1        2310.31        1099.06   351.875276925   -30.280877184          1       2304       2315       1089       1106   7.10e-06   1.00e+00     0.62   7.617e+00   7.665e+00   7.665e+00   5.411512e-05   5.445588e-05   5.445588e-05   5.445588e-05   5.445588e-05   7.686113e-06   4.666620e-05   4.666620e-05   6.330800e-05   6.330800e-05   7.777937e-06     1.44  -1.000e+00
      28         84       2227       1043   351.890276569   -30.298328104   1.03e-04   3.03e-04        2225.50        1046.46   351.890546351   -30.297249267          1        2225.72        1046.15   351.890506253   -30.297346221          1       2220       2230       1041       1053   7.11e-06   1.00e+00     0.58   7.289e+00   7.385e+00   7.385e+00   5.178730e-05   5.247443e-05   5.247443e-05   5.247443e-05   5.247443e-05   7.646633e-06   3.187875e-05   3.187875e-05   4.396403e-05   4.396403e-05   7.437590e-06     1.02  -1.000e+00
      29        170       2383       1077   351.862191353   -30.287749142   1.07e-04   3.15e-04        2378.08        1080.13   351.863077696   -30.286774548          1        2378.81        1079.98   351.862945598   -30.286821846          1       2367       2387       1073       1087   7.10e-06   1.00e+00     1.16   7.182e+00   7.244e+00   7.094e+00   5.102282e-05   5.145838e-05   5.039278e-05   5.039278e-05   5.039278e-05   7.604659e-06   6.662318e-05   6.662318e-05   9.364691e-05   9.364691e-05   8.508281e-06     2.14  -1.000e+00
      30         70       2559       1293   351.830532632   -30.220389126   1.06e-04   3.13e-04        2559.04        1294.41   351.830525080   -30.219947743          1        2559.03        1294.20   351.830527035   -30.220014409          1       2554       2563       1288       1300   7.10e-06   1.00e+00     0.50   7.133e+00   7.151e+00   7.151e+00   5.066100e-05   5.078537e-05   5.078537e-05   5.078537e-05   5.078537e-05   7.610496e-06   2.655367e-05   2.655367e-05   3.717915e-05   3.717915e-05   7.341378e-06     0.87  -1.000e+00
