# blobcat.py
# Version 1.2 (July 2014)
#
# SB image = H12-00_initial_clean.image.tt0_170223.fits
# RMS (constant) = 2.878e-06
# Bandwidth smearing (constant) = 1.000e+00
# Total image size (including blanks) along dimensions (RA , Dec) = (8400 , 8400) pixels
# Image projection = SIN
# Total non-blank pixels = 70560000
# Pixel dimensions (RA , Dec) = (1.000e-01 , 1.000e-01) arcsec
# Resolution (bmaj , bmin) = (3.338e-01 , 2.473e-01) arcsec, PA = -4.115e+01 deg
# SNR blob detection threshold (T_d) = 5.000e+00
# SNR blob flooding threshold (T_f)  = 2.000e+00
#
# Phase calibrator positional error (RA , Dec) = (1.000e-02 , 1.000e-02) arcsec
# SELFCAL standard error of the mean (SEM) of gain phases = 5.000e-01 deg
# Absolute surface brightness error = 5.00 %
# Pixellation error (affects peak errors) = 2.00 %
# Clean bias correction = 0.000e+00 Jy/beam
# Lambda factor for resolved blob peak bias correction = 3.50
# Blob size limits (min , max) = (5 , 100000) pixels
# Blob size limits along dimensions (RA , Dec) = (3 , 3) pixels
# Edge buffer for extracting blobs = 10 pixels
#
# Important: pixel coordinates start from 0, not 1.
# Equinox (in years) for equatorial coordinate system = 2000.00
#
#     C1         C2         C3         C4              C5              C6         C7         C8             C9            C10             C11             C12        C13            C14            C15             C16             C17        C18        C19        C20        C21        C22        C23        C24      C25         C26         C27         C28            C29            C30            C31            C32            C33            C34            C35            C36            C37            C38            C39      C40         C41
#     ID       npix        x_p        y_p            RA_p           Dec_p     RA_err    Dec_err            x_c            y_c            RA_c           Dec_c      cFlag           x_wc           y_wc           RA_wc          Dec_wc     wcFlag       xmin       xmax       ymin       ymax        rms    BWScorr        M     SNR_OBS     SNR_FIT         SNR        S_p_OBS        S_p_FIT            S_p         S_p_CB      S_p_CBBWS  S_p_CBBWS_err      S_int_OBS    S_int_OBSCB          S_int       S_int_CB   S_int_CB_err    R_EST     VisArea
#             [pix]      [pix]      [pix]           [deg]           [deg]      [deg]      [deg]          [pix]          [pix]           [deg]           [deg]                     [pix]          [pix]           [deg]           [deg]                 [pix]      [pix]      [pix]      [pix]    [ Jy/b]                                                                 [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]         [Jy/b]           [Jy]           [Jy]           [Jy]           [Jy]           [Jy]
      21         36       4354       3912   176.635722196    -0.195499997   6.87e-06   7.10e-06        4353.31        3912.28   176.635741486    -0.195492281          1        4353.44        3912.25   176.635737822    -0.195492975          1       4349       4357       3909       3915   2.88e-06   1.00e+00     0.87   8.704e+00   8.704e+00   8.704e+00   2.505035e-05   2.505035e-05   2.505035e-05   2.505035e-05   2.505035e-05   3.178383e-06   4.690002e-05   4.690002e-05   5.618261e-05   5.618261e-05   4.021632e-06     2.62  -1.000e+00
      22         23       3549       4029   176.658083434    -0.192249988   6.96e-06   7.20e-06        3549.48        4029.00   176.658070149    -0.192249988          1        3549.31        4028.82   176.658074763    -0.192254970          1       3547       3553       4027       4031   2.88e-06   1.00e+00     0.68   8.527e+00   8.566e+00   8.566e+00   2.454066e-05   2.465235e-05   2.465235e-05   2.465235e-05   2.465235e-05   3.169345e-06   2.965905e-05   2.965905e-05   3.566422e-05   3.566422e-05   3.385580e-06     1.69  -1.000e+00
      23         19       5068       2090   176.615888664    -0.246111102   7.13e-06   7.37e-06        5067.89        2090.58   176.615891588    -0.246095020          1        5067.82        2090.43   176.615893574    -0.246099295          1       5066       5070       2089       2092   2.88e-06   1.00e+00     0.78   8.290e+00   8.336e+00   8.336e+00   2.385914e-05   2.399155e-05   2.399155e-05   2.399155e-05   2.399155e-05   3.154605e-06   2.637272e-05   2.637272e-05   3.192377e-05   3.192377e-05   3.290916e-06     1.42  -1.000e+00
      24         21        952       4905   176.730222646    -0.167916431   7.20e-06   7.44e-06         951.81        4904.95   176.730227937    -0.167917754          1         951.74        4904.98   176.730229939    -0.167916952          1        950        954       4903       4907   2.88e-06   1.00e+00     0.78   8.198e+00   8.236e+00   8.236e+00   2.359281e-05   2.370099e-05   2.370099e-05   2.370099e-05   2.370099e-05   3.148229e-06   3.022486e-05   3.022486e-05   3.669903e-05   3.669903e-05   3.413115e-06     1.59  -1.000e+00
      25         16       6116       2431   176.586777315    -0.236638811   7.48e-06   7.74e-06        6115.38        2430.75   176.586794676    -0.236645756          1        6115.41        2430.74   176.586793819    -0.236646136          1       6114       6117       2429       2433   2.88e-06   1.00e+00     0.97   7.467e+00   7.873e+00   7.873e+00   2.148935e-05   2.265757e-05   2.265757e-05   2.265757e-05   2.265757e-05   3.125871e-06   2.292199e-05   2.292199e-05   2.816277e-05   2.816277e-05   3.203929e-06     1.25  -1.000e+00
      26         15       2663       4049   176.682694686    -0.191694390   8.06e-06   8.34e-06        2663.07        4048.93   176.682692834    -0.191696242          1        2663.07        4048.96   176.682692720    -0.191695383          1       2661       2665       4047       4051   2.88e-06   1.00e+00     0.68   7.234e+00   7.234e+00   7.234e+00   2.081990e-05   2.081990e-05   2.081990e-05   2.081990e-05   2.081990e-05   3.088586e-06   1.813965e-05   1.813965e-05   2.283966e-05   2.283966e-05   3.096197e-06     1.25  -1.000e+00
      27         39       3547       4012   176.658138991    -0.192722210   8.70e-06   9.01e-06        3546.15        4011.28   176.658162495    -0.192742153          1        3546.18        4011.42   176.658161895    -0.192738404          1       3543       3550       4007       4015   2.88e-06   1.00e+00     1.84   7.156e+00   7.156e+00   6.636e+00   2.059567e-05   2.059567e-05   1.909916e-05   1.909916e-05   1.909916e-05   3.056168e-06   4.616752e-05   4.616752e-05   5.981038e-05   5.981038e-05   4.150363e-06     3.48  -1.000e+00
      28         13       5976       6215   176.590666529    -0.131527697   8.05e-06   8.34e-06        5975.38        6214.54   176.590683623    -0.131540517          1        5975.37        6214.63   176.590684102    -0.131538088          1       5974       5977       6213       6216   2.88e-06   1.00e+00     0.68   7.127e+00   7.236e+00   7.236e+00   2.051012e-05   2.082542e-05   2.082542e-05   2.082542e-05   2.082542e-05   3.088694e-06   1.760494e-05   1.760494e-05   2.216459e-05   2.216459e-05   3.083907e-06     1.08  -1.000e+00
      29         13       2634       4070   176.683500245    -0.191111054   8.29e-06   8.58e-06        2634.38        4070.54   176.683489561    -0.191096097          1        2634.27        4070.33   176.683492851    -0.191101902          1       2633       2636       4069       4072   2.88e-06   1.00e+00     0.68   7.006e+00   7.006e+00   7.006e+00   2.016391e-05   2.016391e-05   2.016391e-05   2.016391e-05   2.016391e-05   3.075939e-06   1.615718e-05   1.615718e-05   2.055070e-05   2.055070e-05   3.055836e-06     1.11  -1.000e+00
      30         17       3537       4020   176.658416770    -0.192499988   8.28e-06   8.58e-06        3536.53        4019.71   176.658429842    -0.192508158          1        3536.53        4019.77   176.658429963    -0.192506332          1       3534       3539       4018       4022   2.88e-06   1.00e+00     0.97   6.996e+00   7.011e+00   7.011e+00   2.013376e-05   2.017743e-05   2.017743e-05   2.017743e-05   2.017743e-05   3.076196e-06   2.086674e-05   2.086674e-05   2.653513e-05   2.653513e-05   3.169005e-06     1.45  -1.000e+00
